project_id	title	org	act_code	short	long	recipient

82229863	Administrative Vocational Training in the Federal Republic of Germany 2005-2009	Germany	15140.01	GOVERNMENT ADMINISTRATION	Administrative Vocational Training in the Federal Republic of Germany 2005-2009	Cote d`Ivoire

82207944	Development Policy Forum 2006	Germany	15110.01	DEVELOPMENT POLICY FORUM 2006	Development Policy Forum 2006	Turkmenistan

82213428	Integrated Experts	Germany	99810.01	INTEGRATED EXPERTS	Integrated Experts	Tunisia

82249189	Peace building and advocacy for human rights protection in 4 municipalties of Huehuetenango	Germany	15150.07	HUMAN RIGHTS	Peace building and advocacy for human rights protection in 4 municipalties of Huehuetenango	Guatemala

82249189	Peace building and advocacy for human rights protection in 4 municipalties of Huehuetenango	Germany	15220.01	HUMAN RIGHTS	Peace building and advocacy for human rights protection in 4 municipalties of Huehuetenango	Guatemala

82504168	INTEGRIERTE FACHKRAFT	Germany	99810.01	INTEGRATED SPECIALIST		Peru

82535080	Promotion of Legal and Social Equality of Women and Men	Germany	42010.01	PROMOTION OF LEGAL AND SOCIAL EQUALITY OF WOMEN AND MEN	Die Kapazitäten nationaler und lokaler formaler und informeller Institutionen für einen verbesserten Zugang von Frauen zu ihren Rechten sind gestärkt	Bangladesh

82535080	Promotion of Legal and Social Equality of Women and Men	Germany	15150.09	PROMOTION OF LEGAL AND SOCIAL EQUALITY OF WOMEN AND MEN	Die Kapazitäten nationaler und lokaler formaler und informeller Institutionen für einen verbesserten Zugang von Frauen zu ihren Rechten sind gestärkt	Bangladesh

82536442	REGULAR GERMAN CONTRIBUTION TO THE WORLD FOOD PROGRAMME IN 2005	Germany	92020.01	REGULAR GERMAN CONTRIBUTION TO THE WORLD FOOD PROGRAMME IN 2005		

82543477	Sustainable Livelihood Generation with Optimal Utilization and Sharing	Germany	41010.02	SUSTAINABLE LIVELIHOOD GENERATION WITH OPTIMAL UTILIZATION AND SHARING	Sustainable Livelihood Generation with Optimal Utilization and Sharing of Natural Resources in Six Blocks of Nalanda Dt.	India

82546940	GEMEINWESENENTWICKLUNGSPROGRAMM BEI DER MEJENGIR VOLKSGRUPPE MIT BETONUNG AUF WALDSCHUTZ	Germany	15150.07	STRENGTHENING CIVIL SOCIETY		Ethiopia

82546940	GEMEINWESENENTWICKLUNGSPROGRAMM BEI DER MEJENGIR VOLKSGRUPPE MIT BETONUNG AUF WALDSCHUTZ	Germany	15150.02	STRENGTHENING CIVIL SOCIETY		Ethiopia

82598835	WORKINGFORCE RECONSTRUCTION SOUTHEASTEUROPE	Germany	72030.01	WORKINGFORCE RECONSTRUCTION SOUTHEASTEUROPE		

82600272	INTEGRATED SPECIALIST	Germany	99810.01	INTEGRATED SPECIALIST		Afghanistan

82569721	Promoting Independant Media 2007	Germany	15150.08	FREE FLOW OF INFORMATION	Promoting Independant Media 2007	Cambodia

82136363	Education of promotors of peace and civic participation / Colombia (2007-2009)	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Education of promotors of peace and civic participation / Colombia (2007-2009)	Colombia

82136363	Education of promotors of peace and civic participation / Colombia (2007-2009)	Germany	15150.05	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Education of promotors of peace and civic participation / Colombia (2007-2009)	Colombia

82136363	Education of promotors of peace and civic participation / Colombia (2007-2009)	Germany	15150.02	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Education of promotors of peace and civic participation / Colombia (2007-2009)	Colombia

82136363	Education of promotors of peace and civic participation / Colombia (2007-2009)	Germany	11105.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Education of promotors of peace and civic participation / Colombia (2007-2009)	Colombia

82137647	Governance in Central Asia	Germany	11120.06	STRENGTHENING CIVIL SOCIETY	Workshop in Bischkek on Good governance of secular states with a majority of muslim population in the region of Central Asia .	

82137647	Governance in Central Asia	Germany	15140.04	STRENGTHENING CIVIL SOCIETY	Workshop in Bischkek on Good governance of secular states with a majority of muslim population in the region of Central Asia .	

82137647	Governance in Central Asia	Germany	15140.01	STRENGTHENING CIVIL SOCIETY	Workshop in Bischkek on Good governance of secular states with a majority of muslim population in the region of Central Asia .	

82147183	FOREIGN CULTURAL RELATIONS	Germany	16010.07	FOREIGN CULTURAL RELATIONS	FOREIGN CULTURAL RELATIONS	Uganda

82150833	INTEGRATION BEHINDERTER MENSCHEN IN HYDERABAD/INDIEN	Germany	16010.05	SOCIAL/WELFARE SERVICES		India

82154341	Project of Friedrich-Ebert-Foundation	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Improvement of bilateral relations between Afghanistan and Pakistan by civil society exchange programme	Afghanistan

82117269	Advanced Training in Administrative Sciences and Public Management	Germany	11430.05	GOVERNMENT ADMINISTRATION	Advanced Training in Administrative Sciences and Public Management	Sri Lanka

82117269	Advanced Training in Administrative Sciences and Public Management	Germany	15110.03	GOVERNMENT ADMINISTRATION	Advanced Training in Administrative Sciences and Public Management	Sri Lanka

82119599	DEVELOPMENT AID VOLUNTEER	Germany	99810.01	DEVELOPMENT AID VOLUNTEER		Burkina Faso

82120455	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS	Germany	25010.08	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS		

82120455	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS	Germany	25010.07	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS		

82122278	Forestry services	Germany	31291.01	FORESTRY SERVICES	Forestry services	Chile

82074162	DEVELOPMENT BANK PBDAC BDAC IS	Germany	91010.01	FINANCING OF CONSULTING SERVICES		Egypt

82077237	Improvement of housing shortage and prevention of rural exodus, India	Germany	16030.02	HOUSING POLICY AND ADMIN. MANAGEMENT	Improvement of housing shortage and prevention of rural exodus, India	India

82077237	Improvement of housing shortage and prevention of rural exodus, India	Germany	43040.05	HOUSING POLICY AND ADMIN. MANAGEMENT	Improvement of housing shortage and prevention of rural exodus, India	India

82078787	humanitarian aid	Germany	72010.01	EMERGENCY/DISTRESS RELIEF	humanitarian aid	Lebanon

82060758	Fishing policy and administrative management	Germany	31310.01	FISHING POLICY AND ADMINISTRATIVE MANAGEMENT	Fishing policy and administrative management	Philippines

82060953	Integrated Experts	Germany	99810.01	INTEGRATED EXPERTS	Integrated Experts	Afghanistan

82073075	TROPENWALDERHALTUNG AMAZONIEN	Germany	31210.02	TROPICAL FOREST PROGRAM		

82028354	OPERATIVE STAERKUNG DES RECHNUNGSHOFES	Germany	15120.02	PUBLIC SECTOR FINANCIAL MANAGEMENT		Nicaragua

82031689	EMERGENCY/DISTRESS RELIEF	Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Azerbaijan

82032544	Special Cars for EU Supervision Team	Germany	21020.02	SPECIAL CARS FOR EU SUPERVISION TEAM	Protection for the special supervision EU team in Georgia	Georgia

82032544	Special Cars for EU Supervision Team	Germany	15220.01	SPECIAL CARS FOR EU SUPERVISION TEAM	Protection for the special supervision EU team in Georgia	Georgia

82032544	Special Cars for EU Supervision Team	Germany	91010.01	SPECIAL CARS FOR EU SUPERVISION TEAM	Protection for the special supervision EU team in Georgia	Georgia

82035106	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Congo, Democratic Republic of

82035106	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Congo, Democratic Republic of

82003938	INTEGRATED SPECIALIST	Germany	99810.01	INTEGRATED SPECIALIST		Malawi

82008256	Support to the Chamber of control of Georgia	Germany	15150.03	SUPPORT TO THE CHAMBER OF CONTROL OF GEORGIA	Die Finanzkontrollkammer verbessert in Zusammenarbeit mit dem Parlament und dem Finanzministerium die Kontrolle über die Verwendung öffentlicher Mittel.	Georgia

82008256	Support to the Chamber of control of Georgia	Germany	15120.02	SUPPORT TO THE CHAMBER OF CONTROL OF GEORGIA	Die Finanzkontrollkammer verbessert in Zusammenarbeit mit dem Parlament und dem Finanzministerium die Kontrolle über die Verwendung öffentlicher Mittel.	Georgia

82008256	Support to the Chamber of control of Georgia	Germany	15120.01	SUPPORT TO THE CHAMBER OF CONTROL OF GEORGIA	Die Finanzkontrollkammer verbessert in Zusammenarbeit mit dem Parlament und dem Finanzministerium die Kontrolle über die Verwendung öffentlicher Mittel.	Georgia

82008256	Support to the Chamber of control of Georgia	Germany	15140.03	SUPPORT TO THE CHAMBER OF CONTROL OF GEORGIA	Die Finanzkontrollkammer verbessert in Zusammenarbeit mit dem Parlament und dem Finanzministerium die Kontrolle über die Verwendung öffentlicher Mittel.	Georgia

82011793	Promoting Independant Media 2006	Germany	15150.08	PROMOTING INDEPENDANT MEDIA 2006	Promoting Independant Media 2006	Ghana

82388901	Integrated rural development programme	Germany	43040.02	INTEGRATED RURAL DEVELOPMENT PROGRAMME	Integrated rural development programme	Cameroon

82393338	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Ex-Yugoslavian States, Unspecified

82393338	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Ex-Yugoslavian States, Unspecified

82393919	Participatory planning and influencing decision making in poor areas	Germany	16010.05	PARTICIPATORY PLANNING AND INFLUENCING DECISION MAKING IN POOR AREAS	Participatory planning and influencing decision making in poor areas	Dominican Republic

82393919	Participatory planning and influencing decision making in poor areas	Germany	15150.02	PARTICIPATORY PLANNING AND INFLUENCING DECISION MAKING IN POOR AREAS	Participatory planning and influencing decision making in poor areas	Dominican Republic

82348667	RURAL INFRASTRUCTURE MT KENYA	Germany	43040.05	RURAL INFRASTRUCTURE MOUNT KENYA		Kenya

82373662	DEVELOPMENT WORKER	Germany	51010.05	DEVELOPMENT EXPERT		Nicaragua

82365620	cultural societies, Goethe Institute	Germany	16010.07	CULTURAL SOCIETIES, GOETHE INSTITUTE	cultural societies, Goethe Institute	Mexico

82712594	AFFORESTATION ANHUI	Germany	31220.02	AFFORESTATION IN ANHUI PROVINCE.		China

82716126	0401IHFINANZKONTROLLE OLACEFS	Germany	15140.01	GOVERNMENT ADMINISTRATION		Honduras

82720198	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS	Germany	25010.08	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS		China

82720198	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS	Germany	25010.07	PRIVATE SECTOR DEVELOPMENT THROUGH PARTNERSHIPS		China

82720820	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Ghana

82743767		Germany	16030.01	BMZ TC: HOUSING		Haiti

82747614	INTEGRATED SPECIALIST	Germany	99810.01	INTEGRATED SPECIALIST		Philippines

82726308	Regional policies to promote sustainable forest development in the amazonas region	Germany	31210.01	FORESTRY POLICY & ADMIN. MANAGEMENT	Regional policies to promote sustainable forest development in the amazonas region	Costa Rica

82726308	Regional policies to promote sustainable forest development in the amazonas region	Germany	31210.02	FORESTRY POLICY & ADMIN. MANAGEMENT	Regional policies to promote sustainable forest development in the amazonas region	Costa Rica

82726308	Regional policies to promote sustainable forest development in the amazonas region	Germany	31220.01	FORESTRY POLICY & ADMIN. MANAGEMENT	Regional policies to promote sustainable forest development in the amazonas region	Costa Rica

82726308	Regional policies to promote sustainable forest development in the amazonas region	Germany	41010.01	FORESTRY POLICY & ADMIN. MANAGEMENT	Regional policies to promote sustainable forest development in the amazonas region	Costa Rica

82702333		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Guatemala

82282247		Germany	31120.01	AGRICULTURAL DEVELOPMENT		Angola

82283683	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT	Germany	99810.01	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT		Serbia

82298508	Supporting the assistance, returning and re-integration of refugees in East and Central Africa	Germany	72010.01	SUPPORTING THE ASSISTANCE, RETURNING AND RE-INTEGRATION OF REFUGEES IN EAST AND CENTRAL AFRICA	Unterstützung der Betreuung, Rückführung und Reintegration von Flüchtlingen in Ost- und Zentralafrika	

82298508	Supporting the assistance, returning and re-integration of refugees in East and Central Africa	Germany	73010.01	SUPPORTING THE ASSISTANCE, RETURNING AND RE-INTEGRATION OF REFUGEES IN EAST AND CENTRAL AFRICA	Unterstützung der Betreuung, Rückführung und Reintegration von Flüchtlingen in Ost- und Zentralafrika	

82259137	Public financial management in the education sector - fostering of PBA in Central America	Germany	11110.01	PUBLIC SECTOR FINANCIAL MANAGEMENT	Öffentliches Budgetmanagement insbesondere im Bildungssektor - Unterstützung von PGF-Ansätzen in Zentralamerika	Guatemala

82259137	Public financial management in the education sector - fostering of PBA in Central America	Germany	15120.02	PUBLIC SECTOR FINANCIAL MANAGEMENT	Öffentliches Budgetmanagement insbesondere im Bildungssektor - Unterstützung von PGF-Ansätzen in Zentralamerika	Guatemala

82259137	Public financial management in the education sector - fostering of PBA in Central America	Germany	15120.01	PUBLIC SECTOR FINANCIAL MANAGEMENT	Öffentliches Budgetmanagement insbesondere im Bildungssektor - Unterstützung von PGF-Ansätzen in Zentralamerika	Guatemala

82259137	Public financial management in the education sector - fostering of PBA in Central America	Germany	11110.02	PUBLIC SECTOR FINANCIAL MANAGEMENT	Öffentliches Budgetmanagement insbesondere im Bildungssektor - Unterstützung von PGF-Ansätzen in Zentralamerika	Guatemala

82267967	promotion of sports relations and donations in kind, Central Agency for Schools Abroad	Germany	16010.07	PROMOTION OF SPORTS RELATIONS AND DONATIONS IN KIND, CENTRAL AGENCY FOR SCHOOLS ABROAD	promotion of sports relations and donations in kind, Central Agency for Schools Abroad	Trinidad & Tobago

82319567	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Indonesia

82319567	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Indonesia

82326497	Advocacy Centre and leadership education for good governance and public responsability, Ghana	Germany	15140.04	ADVOCACY CENTRE AND LEADERSHIP EDUCATION FOR GOOD GOVERNANCE AND PUBLIC RESPONSABILITY, GHANA	Advocacy Centre and leadership education for good governance and public responsability, Ghana	Ghana

82326497	Advocacy Centre and leadership education for good governance and public responsability, Ghana	Germany	43081.01	ADVOCACY CENTRE AND LEADERSHIP EDUCATION FOR GOOD GOVERNANCE AND PUBLIC RESPONSABILITY, GHANA	Advocacy Centre and leadership education for good governance and public responsability, Ghana	Ghana

82326497	Advocacy Centre and leadership education for good governance and public responsability, Ghana	Germany	15140.01	ADVOCACY CENTRE AND LEADERSHIP EDUCATION FOR GOOD GOVERNANCE AND PUBLIC RESPONSABILITY, GHANA	Advocacy Centre and leadership education for good governance and public responsability, Ghana	Ghana

82333342		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Kenya

82333576	Integrated Experts	Germany	99810.01	INTEGRATED EXPERTS	Integrated Experts	Croatia

82414571	Regular German contribution to the World Food Programme in 2011	Germany	72040.01	REGULAR GERMAN CONTRIBUTION TO THE WORLD FOOD PROGRAMME IN 2011	Regular German contribution to the World Food Programme in 2011	Guatemala

82419815	NEW PARTNERSHIP FOR AFRICA'S DEVELOPMENT (NEPAD)	Germany	15110.01	NEW PARTNERSHIP FOR AFRICA'S DEVELOPMENT (NEPAD)		

82425998	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Iran

82425998	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Iran

82440466		Germany	16030.03	LOW-COST HOUSING	Prog. de rehabil. de barrios marginales	El Salvador

82442604	Restoration of a church	Germany	16010.11	HUMAN RIGHTS	Restoration of the cathedral Church of Christ the Saviour in Prizren	Serbia

82442604	Restoration of a church	Germany	16010.07	HUMAN RIGHTS	Restoration of the cathedral Church of Christ the Saviour in Prizren	Serbia

82445376	KV-FORSTLICHE ENTWICKLUNG DER CHURIA-WAELDER	Germany	31220.01	FORESTRY DEVELOPMENT, CHURIA		Nepal

82446623	DEVELOPMENT AID VOLUNTEER	Germany	99810.01	DEVELOPMENT AID VOLUNTEER		Papua New Guinea

82446895	POVERTY ALLEVIATION PROGRAMME	Germany	51010.05	POVERTY ALLEVIATION PROGRAMME		Ecuador

82401312	SOZIALE SICHERUNGSSYSTEME	Germany	16010.04	SOCIAL/WELFARE SERVICES		Philippines

82453785	humanitarian aid	Germany	72010.01	HUMANITARIAN AID	humanitarian aid	Congo, Democratic Republic of

82459149	DEVELOPMENT AID VOLUNTEER	Germany	99810.01	DEVELOPMENT AID VOLUNTEER		Viet Nam

82448881	TRANSNET - Transboundary Management of Natural Resources in SADC Region	Germany	41010.01	TRANSNET - TRANSBOUNDARY MANAGEMENT OF NATURAL RESOURCES IN SADC REGION	TRANSNET - Transboundary Management of Natural Resources in the SADC Region	Tanzania

82448881	TRANSNET - Transboundary Management of Natural Resources in SADC Region	Germany	41010.02	TRANSNET - TRANSBOUNDARY MANAGEMENT OF NATURAL RESOURCES IN SADC REGION	TRANSNET - Transboundary Management of Natural Resources in the SADC Region	Tanzania

82630890		Germany	43040.01	RURAL DEVELOPMENT		Nicaragua

82633491	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT	Germany	99810.01	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT		Serbia

82674340	INTEGRIERTE FACHKRAFT	Germany	99810.01	INTEGRATED SPECIALIST		Ethiopia

82611048	Strengthening civil society	Germany	15150.01	STRENGTHENING CIVIL SOCIETY	Strengthening civil society	Zambia

82638508	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT	Germany	99810.01	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT		Ex-Yugoslavian States, Unspecified

82644808	FED. STATES CONTRIB.: ADVANCED TRAINING	Germany	43081.01	FED. STATES CONTRIB.: ADVANCED TRAINING		Syria

82646050	INTEGRATED SPECIALIST	Germany	99810.01	INTEGRATED SPECIALIST		Serbia

82755470	DEVELOPMENT WORKER	Germany	51010.05	DEVELOPMENT EXPERT		Cambodia

82757844	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Moldova

82757844	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Moldova

82802509	Strengthening of the ability to cooperate internationally as a contribution to the global governance architecture	Germany	15110.01	GOVERNMENT ADMINISTRATION	Strengthening of the ability to cooperate internationally as a contribution to the global governance architecture	Armenia

82804260	DEVELOPMENT AID VOLUNTEER	Germany	99810.01	DEVELOPMENT AID VOLUNTEER		Brazil

82809813		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		South Africa

82810865		Germany	43040.01	RURAL DEVELOPMENT		Niger

82795599	humanitarian demining	Germany	15250.01	HUMANITARIAN DEMINING	humanitarian demining	Sudan

83931048	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Hungary

83931750	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Hungary

83932686	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Ukraine

83932803	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Slovak Republic

83932803	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Slovak Republic

84072814	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Hungary

84081901	'FEDERAL STATES CONTRIBUTIONS'	Germany	15140.03	'FEDERAL STATES CONTRIBUTIONS'		Hungary

84089506	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Romania

84090013	RURAL DEVELOPMENT	Germany	43040.01	RURAL DEVELOPMENT		Hungary

84011934	'SUPPORT IN REFORMING LAND REGISTRATION'	Germany	43030.06	'SUPPORT IN REFORMING LAND REGISTRATION'		Ukraine

84020670	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Belarus

84022152	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Czech Republic

84022386	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Bulgaria

84022386	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Bulgaria

84047580	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Lithuania

84051753	FED. STATES CONTRIB.: AGRICULTURE	Germany	31105.01	FED. STATES CONTRIB.: AGRICULTURE		Poland

84026715	EMERGENCY/DISTRESS RELIEF	Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Hungary

84035061	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Lithuania

84038883	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Czech Republic

84046293	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Hungary

84179947	INTEGRATED SPECIALIST	Germany	99810.01	INTEGRATED SPECIALIST		Slovak Republic

84181351	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Taiwan

84641566		Germany	72010.01	HUMANITARIAN AID		Ethiopia

84660253		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		

84724732		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Djibouti

84747120		Germany	21020.01	RURAL ROADS		Kenya

84747120		Germany	43040.05	RURAL ROADS		Kenya

84771581		Germany	31120.08	CATTLE FATTENING CEN		Niger

84771581		Germany	31191.05	CATTLE FATTENING CEN		Niger

84795413		Germany	14020.01	WATER SUPPLY		Togo

84802394		Germany	16030.02	RURAL HOUSING		Honduras

84743727		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		China

82906093	INTEGRIERTE FACHKRAFT	Germany	99810.01	INTEGRATED SPECIALIST		Serbia

82910959	Statistical Information Systems for Sustainable Development	Germany	15110.01	ECONOMIC AND DEVELOPMENT POLICY/PLANNING	Statistical Information Systems for Sustainable Development	Senegal

82910959	Statistical Information Systems for Sustainable Development	Germany	16010.08	ECONOMIC AND DEVELOPMENT POLICY/PLANNING	Statistical Information Systems for Sustainable Development	Senegal

82840798	FORSTHABEN SCHWARZER FLUSS (ALT: 9022260)	Germany	31220.01	FORESTRY DEVELOPMENT		Viet Nam

82939536	Reinforcment and coordination of thel promotion of democracy in Bahia	Germany	15150.05	STRENGTHENING CIVIL SOCIETY	Reinforcment and coordination of thel promotion of democracy in Bahia	Brazil

82947198	INTEGRATED SPECIALIST	Germany	99810.01	INTEGRATED SPECIALIST		Honduras

82879115	RECHTS- U. SOZIALPOLITISCHE BERATUNG VON FRAUEN	Germany	15150.09	JURIDICIAL AND SOCIAL POLICY ADVICE FOR WOMEN		

82879115	RECHTS- U. SOZIALPOLITISCHE BERATUNG VON FRAUEN	Germany	15130.05	JURIDICIAL AND SOCIAL POLICY ADVICE FOR WOMEN		

82879115	RECHTS- U. SOZIALPOLITISCHE BERATUNG VON FRAUEN	Germany	16010.01	JURIDICIAL AND SOCIAL POLICY ADVICE FOR WOMEN		

82955047		Germany	31120.01	AGRICULTURAL DEVELOPMENT		China

82914417	Program for Small and Medium-Sized Enterprises - Improving the legal, political and institutional framework conditions	Germany	25010.05	PROGRAM FOR SMALL AND MEDIUM-SIZED ENTERPRISES - IMPROVING THE LEGAL, POLITICAL AND INSTITUTIONAL FRAMEWORK CONDITIONS	Die rechtlichen, politischen und institutionellen Rahmenbedingungen für kleine und mittlere Unternehmen sind verbessert.	Mozambique

82898627	NMH - WFP / EMOP - 2.548 T WEIZENMEHL	Germany	72040.01	EMERGENCY FOOD AID		Palestinian Adm. Areas

82898627	NMH - WFP / EMOP - 2.548 T WEIZENMEHL	Germany	72010.01	EMERGENCY FOOD AID		Palestinian Adm. Areas

82829453	DEVELOPMENT AID VOLUNTEER	Germany	99810.01	DEVELOPMENT AID VOLUNTEER		Philippines

82874144	VERSCH.HUMAN.HILFSMASSNAHMEN	Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Congo, Republic of

83205256		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		

83209963	Promoting Independant Media 2007	Germany	15150.08	FREE FLOW OF INFORMATION	Promoting Independant Media 2007	Moldova

83186491	Enhancing the role and capacities of female lawyers as leaders	Germany	42010.01	HUMAN RIGHTS	Enhancing the role and capacities of female lawyers as leaders	Palestinian Adm. Areas

83186491	Enhancing the role and capacities of female lawyers as leaders	Germany	15130.01	HUMAN RIGHTS	Enhancing the role and capacities of female lawyers as leaders	Palestinian Adm. Areas

83190570	Integrated Experts	Germany	99810.01	INTEGRATED EXPERTS	Integrated Experts	Ghana

83199622	PROJEKT ZUR INTEGRIERTEN ENTWICKLUNG DES VERWALTUNGSBEZIRKS BELLEFOUNGOU IN NORDBENIN	Germany	15150.02	STRENGTHENING CIVIL SOCIETY		Benin

83232007	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		

83232007	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		

83233056		Germany	16020.01	EMPLOYMENT POLICY AND ADMIN. MGMT.		Costa Rica

83236244	Political and economic prerequisites of the Eu- Integration	Germany	15110.01	POLITICAL AND ECONOMIC PREREQUISITES OF THE EU- INTEGRATION	Political and economic prerequisites of the Eu- Integration	Macedonia, FYR

83219449	CUENCA-MANAGEMENT	Germany	31191.01	AGRICULTURAL CO-OPERATIVES		Colombia

83219449	CUENCA-MANAGEMENT	Germany	31191.04	AGRICULTURAL CO-OPERATIVES		Colombia

83224273		Germany	72040.01	EMERGENCY FOOD AID		Ethiopia

83225169	Statistical Information Systems for Sustainable Development	Germany	51010.05	STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT	Statistical Information Systems for Sustainable Development	Kenya

83225169	Statistical Information Systems for Sustainable Development	Germany	16010.08	STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT	Statistical Information Systems for Sustainable Development	Kenya

83728755	FED. STATES CONTRIBUTIONS	Germany	21005.01	FED. STATES CONTRIBUTIONS		Lithuania

83728950	RESEARCH CO-OPERATION WITH DEVELOPING COUNTRIES	Germany	43082.01	RESEARCH CO-OPERATION WITH DEVELOPING COUNTRIES		Hungary

83728950	RESEARCH CO-OPERATION WITH DEVELOPING COUNTRIES	Germany	15110.01	RESEARCH CO-OPERATION WITH DEVELOPING COUNTRIES		Hungary

83756913	'FEDERAL STATES CONTRIBUTIONS'	Germany	15140.03	'FEDERAL STATES CONTRIBUTIONS'		Russia

